position,peak
30,658
58,658
86,660
114,660
142,578
172,661
202,662
231,657
258,661
284,576
311,592
339,630
367,607
395,584
422,626
449,626
479,537
507,662
535,662
565,656
595,659
626,662
656,632
685,611
713,661
741,598
769,661
798,657
827,660
856,652
884,659
912,662
940,661
968,651
995,601
1021,662
1047,645
1075,662
1105,607
1133,624
1160,600
1186,660
1214,660
1242,661
1270,599
1296,628
1323,661
1350,662
1378,661
1406,660
1433,598
1460,662
1486,654
1513,611
1541,661
1570,660
1597,599
1624,662
1651,660
1679,662
1707,662
1734,661
1760,522
1785,658
1810,662
1836,662
1864,662
1893,629
1920,648
1946,661
1972,594
1998,659
2024,661
2049,658
2074,660
2100,658
2126,662
2154,662
2181,662
2207,662
2232,663
2257,662
2282,648
2307,632
2335,662
2363,663
2391,661
2418,661
2444,662
2470,662
2496,661
2523,628
2549,663
2576,663
2603,662
2630,658
2657,556
2683,661
2709,613
2735,648
2762,606
2788,661
2814,662
2840,642
2866,662
2892,662
2918,657
2943,661
2968,660
2993,660
3017,662
3042,661
3067,662
3093,648
3118,578
3144,645
3170,660
3195,643
3222,662
3249,662
3275,576
3302,618
3330,578
3357,663
3384,662
3410,559
3436,602
3462,607
3488,661
3515,658
3542,663
3569,662
3596,661
3624,658
3652,649
3680,662
3707,661
3735,598
3762,650
3789,536
3816,546
3843,660
3869,617
3896,661
3923,640
3949,662
3978,597
4006,642
4034,657
4062,662
4089,660
4116,661
4143,661
4170,662
4197,658
4222,566
4248,659
4273,662
4299,629
4326,661
4354,660
4382,662
4409,660
4435,661
4461,659
4487,599
4513,538
4540,592
4565,663
4592,575
4618,659
4644,660
4669,631
4694,662
4719,631
4744,655
4769,632
4796,647
4821,662
4847,658
4873,654
4901,662
4929,662
4957,661
4985,608
5011,592
5038,586
5067,654
5096,574
5124,581
5151,660
5179,657
5206,652
5232,662
5258,662
5284,657
5310,662
5336,606
5361,663
5387,662
5414,663
5441,662
5468,653
5495,556
5521,661
5547,595
5574,660
5601,663
5630,662
5658,661
5685,662
5712,662
5739,663
5767,660
5795,662
5822,598
5850,662
5877,660
5903,661
5929,660
5954,543
5980,562
6008,583
6036,588
6063,596
6091,660
6118,604
6146,662
6172,577
6199,661
6225,551
6252,662
6278,655
6303,650
6329,660
6355,661
6382,652
6408,610
6434,550
6461,662
6488,661
6515,628
6541,663
6568,588
6595,662
6622,651
6649,659
6675,662
6701,633
6726,613
6753,653
6779,558
6806,484
6830,585
6855,662
6880,663
6906,637
6932,661
6957,662
6982,660
7008,659
7034,652
7061,656
7087,662
7113,662
7139,644
7166,662
7192,590
7217,651
7242,661
7266,646
7291,662
7316,661
7341,660
7366,659
7391,656
7416,663
7442,664
7468,584
7495,662
7520,662
7545,482
7571,662
7598,614
7624,662
7650,659
7675,605
7701,662
7727,588
7754,564
7781,661
7807,660
7833,662
7858,533
7884,661
7911,661
7941,600
7971,660
8000,662
8028,650
8056,646
8083,660
8109,662
8136,663
8164,655
8191,661
8219,661
8247,539
8275,575
8302,662
8329,661
8357,584
8385,647
8413,537
8440,655
8467,569
8493,662
8520,661
8547,660
8574,661
8600,662
8626,618
8653,573
8682,661
8710,659
8738,627
8765,662
8792,661
8819,660
8845,590
8870,659
8896,663
8922,664
8948,663
8974,661
9001,661
9028,658
9057,590
9085,663
9112,661
9139,631
9168,596
9198,632
9226,566
9253,662
9280,663
9307,661
9333,661
9359,658
9385,662
9411,661
9437,651
9462,636
9489,638
9517,662
9547,660
9576,662
9603,626
9629,662
9655,661
9681,611
9706,663
9731,650
9756,520
9783,663
9811,662
9837,662
9863,639
9888,537
9916,660
9943,663
9970,662
9996,647
10022,661
10049,568
10076,662
10106,626
10135,650
10165,661
10193,589
10221,663
10249,662
10277,661
10304,662
10330,661
10357,560
10385,450
10413,663
10441,662
10468,637
10495,635
10525,647
10556,662
10586,662
10615,654
10643,661
10670,653
10697,635
10724,662
10751,660
10777,662
10803,657
10831,661
10860,596
10888,663
10916,661
10943,660
10970,530
10996,566
11021,662
11046,662
11071,654
11097,662
11126,660
11155,644
11183,661
11210,658
11238,663
11266,662
11294,662
11321,628
11348,645
11374,661
11400,662
11427,663
11453,661
11479,662
11504,662
11529,661
11554,663
11580,657
11607,664
11635,663
11664,660
11693,662
11721,644
11748,662
11774,548
11800,616
11826,576
11852,662
11878,658
11904,662
11930,659
11956,661
11982,662
12008,662
12034,661
12061,610
12088,654
12115,595
12140,560
12167,660
12194,656
12220,661
12246,657
12273,630
12299,661
12326,602
12352,660
12377,608
12403,661
12429,642
12456,618
12482,496
12510,657
12538,551
12566,608
12595,662
12623,654
12650,615
12677,635
12703,662
12729,663
12756,557
12782,660
12808,663
12834,662
12862,632
12891,662
12919,659
12948,659
12977,663
13004,560
13032,663
13059,645
13086,637
13113,578
13142,590
13170,636
13197,663
13225,548
13252,601
13280,661
13307,664
13335,662
13363,660
13391,588
13418,626
13445,641
13472,601
13499,534
13525,663
13551,663
13578,662
13606,610
13632,615
13659,660
13685,632
13712,533
13738,656
13763,661
13789,661
13814,661
13841,660
13868,607
13894,587
13921,661
13949,658
13976,660
14003,635
14030,661
14057,614
14084,555
14112,651
14139,660
14165,662
14192,533
14217,616
14242,593
14267,663
14292,638
14316,605
14340,661
14364,662
14388,632
14413,662
14439,609
14466,662
14493,661
14520,662
14546,608
14573,662
14599,498
14625,624
14651,662
14678,661
14703,635
14730,662
14756,606
14784,660
14812,510
